,video_id,title_new,show,viewCount,likeCount,commentCount,publishedDay,durationSec
129,cVs4pJUxFrM,Are Most marriages surviving because of side chicks?,,31235.0,973.0,39.0,Tuesday,40.0
130,WY8pUFgmxdk,Side chicks ft Mercy Eke & Pretty Mike - S2ES7 , The Frankly Speaking Podcast,126404.0,2700.0,820.0,Monday,2789.0
131,1NYOeYrJ1ug,"Ladies, would you return a gift if your ex comes asking ?",,10192.0,272.0,11.0,Wednesday,33.0
132,bxhbQsUHTeI,Would you take back your gifts after a break up?,,8273.0,295.0,1.0,Monday,47.0
133,5OOi0f3Gso8,Retrieving Gifts at the end of a relationship Ft Sexy Steel - S2E6 , The Frankly Speaking Podcast,79975.0,1100.0,398.0,Monday,3166.0
134,ABk4J2YdlEE,Is Lagos overrated - S2E5 , The Frankly Speaking Podcast,44039.0,773.0,169.0,Monday,2147.0
135,U0CMmquvHH0,Has social media done more harm than good? - S2 EPS4 , The Frankly Speaking Podcast,18419.0,579.0,34.0,Monday,1679.0
136,cuehbd0AMh0,Is cheating enough to leave?,,11393.0,359.0,16.0,Monday,34.0
137,3SH7-e_dsRg,Can you date your friend's ex? - S2EPS3 , The Frankly Speaking Podcast,65559.0,1400.0,228.0,Monday,2538.0
138,qOk_DmEWejs,"Can a person love 2 people at the same time? - Season 2, Episode 2 ", The Frankly speaking Podcast,85578.0,1763.0,309.0,Monday,2591.0
139,Z_9rUU118h4,"2023, Are Nigerians Ready? - S2, Episode 1", The Frankly Speaking Podcast,32418.0,916.0,175.0,Monday,1943.0
